station_metric_id,stop_id,zone_id,periode_mois,annee,mois,station_kwh,dechets_kg,status
1,S1000,1.0,2019-01,2019,1,396.9506927817434,19.127726455813082,ok
2,S1000,1.0,2019-02,2019,2,240.6680183203635,39.03038712007351,OK
1,S1000,1.0,2019-03,2019,3,617.4292067701972,33.9406267299017,ok
4,S1000,1.0,2019-04,2019,4,448.2486993555297,11.232972925273046,OK
5,S1000,1.0,2019-05,2019,5,416.05475976720254,21.077210493582065,
6,S1000,1.0,2019-06,2019,6,256.19712009219006,30.43369899240625,Ok
7,S1000,1.0,2019-07,2019,7,495.5119670065604,45.84562730503589,ok
8,S1000,1.0,2019-08,2019,8,533.27617395157,19.679369411314244,Ok
9,S1000,1.0,2019-09,2019,9,542.2680050749144,30.08931087666022,Ok
10,S1000,1.0,2019-10,2019,10,332.4983283085802,23.394844415259975,ok
11,,1.0,2019-11,2019,11,411.09883380732276,47.135032464453204,
12,S1000,1.0,2019-12,2019,12,480.36999783642494,56.913277679855135,
13,S1000,1.0,2020-01,2020,1,679.0597287178196,20.365222007306965,ok
14,S1000,1.0,2020-02,2020,2,786.2902400154899,29.06997735240253,
15,S1000,1.0,2020-03,2020,3,328.81052476873737,30.091028523426207,
16,S1000,1.0,2020-04,2020,4,481.28006374845756,46.38575841835508,OK
17,S1000,1.0,2020-05,2020,5,517.5244254845761,7.321643028528364,
18,S1000,1.0,2020-06,2020,6,775.1875640614968,32.349204143982966,
19,S1000,1.0,2020-07,2020,7,350.82841106253517,27.316016798732257,Ok
20,S1000,1.0,2020-08,2020,8,538.5602473930659,38.993298258105916,ok
21,S1000,1.0,2020-09,2020,9,517.0471696215358,45.907466946316404,
22,S1000,1.0,2020-10,2020,10,345.4597392808688,37.70733432884805,OK
23,S1000,1.0,2020-11,2020,11,215.9784626873527,37.00622693060397,
24,S1000,1.0,2020-12,2020,12,524.174141817089,57.50525090093109,ok
25,S1000,1.0,2021-01,2021,1,303.32713036522534,14.013833958960628,OK
26,S1000,1.0,2021-02,2021,2,249.09466734256543,37.12775823198009,
27,S1000,1.0,2021-03,2021,3,271.3972551443138,28.912745967218278,OK
28,S1000,1.0,2021-04,2021,4,222.586952194903,35.67498566071322,OK
29,S1000,1.0,2021-05,2021,5,385.5735112506011,48.54774205423077,OK
30,S1000,1.0,2021-06,2021,6,381.3781531695195,15.893375422273849,Ok
31,S1000,1.0,2021-07,2021,7,372.14396512745867,22.17422303677764,Ok
32,S1000,1.0,2021-08,2021,8,375.8507784169774,24.017363821085343,
33,S1000,1.0,2021-09,2021,9,549.3211172682888,32.14336545199808,ok
34,S1000,1.0,2021-10,2021,10,616.3775808690866,46.2301045722337,Ok
35,S1000,1.0,2021-11,2021,11,396.8894862606539,54.416507529914796,Ok
36,S1000,1.0,2021-12,2021,12,287.62487234694595,36.046291586185525,Ok
37,S1000,1.0,2022-01,2022,1,154.386846573774,30.392730288757235,
38,S1000,1.0,2022-02,2022,2,523.195428881945,0.0,ok
39,S1000,1.0,2022-03,2022,3,712.1970912873801,15.522293606549418,OK
40,S1000,1.0,2022-04,2022,4,436.8421070814891,54.07110685383631,
41,S1000,1.0,2022-05,2022,5,382.14694504424773,,Ok
42,S1000,1.0,2022-06,2022,6,245.93278181086754,15.117392625371561,ok
43,S1000,1.0,2022-07,2022,7,103.07924180009837,48.70996583367639,OK
44,S1000,1.0,2022-08,2022,8,435.08808962566985,16.042591312470574,ok
45,S1000,1.0,2022-09,2022,9,155.46051089431873,31.57846116549432,
46,S1000,1.0,2022-10,2022,10,666.1605566631347,33.06500432079138,
47,S1000,1.0,2022-11,2022,11,275.0144985746663,16.561480000490064,ok
48,S1000,1.0,2022-12,2022,12,470.4554229957353,34.01826124574927,OK
49,S1002,1.0,2019-01,2019,1,433.64594826113284,40.754633577045794,
50,S1002,1.0,2019-02,2019,2,335.9365309914483,45.901663820926586,Ok
51,S1002,1.0,2019-03,2019,3,292.6603215821402,47.74139098700568,
52,S1002,1.0,2019-04,2019,4,633.862431361521,54.892865735990625,OK
53,S1002,1.0,2019-05,2019,5,477.88249872062386,24.42101068425628,ok
54,S1002,1.0,2019-06,2019,6,452.31299293026336,33.99179074165511,
55,S1002,1.0,2019-07,2019,7,376.89033347372924,45.35440553355528,
56,S1002,1.0,2019-08,2019,8,369.9177687636519,79.71171298386162,ok
57,S1002,1.0,2019-09,2019,9,179.13347678803046,7.988286126590943,Ok
58,S1002,1.0,2019-10,2019,10,249.3229727725116,33.48868200606917,ok
59,S1002,1.0,2019-11,2019,11,338.30018711404415,,ok
60,S1002,1.0,2019-12,2019,12,373.4122969307635,38.89417212054305,OK
61,S1002,1.0,2020-01,2020,1,320.2931847336691,19.079908892881516,
62,S1002,1.0,2020-02,2020,2,351.57258334327094,66.95960697897863,ok
63,S1002,1.0,2020-03,2020,3,418.8251187879095,20.54362915450576,
64,S1002,1.0,2020-04,2020,4,198.93529408262137,32.523054050827305,
65,S1002,1.0,2020-05,2020,5,250.80264517817102,15.911484983372986,ok
66,S1002,1.0,2020-06,2020,6,176.6549717568067,51.804481962240686,ok
67,S1002,1.0,2020-07,2020,7,670.2572655124657,44.69748027752393,
68,S1002,1.0,2020-08,2020,8,766.7358045606506,45.8297724207994,
69,S1002,1.0,2020-09,2020,9,561.6692722800892,35.03210191406695,Ok
70,S1002,1.0,2020-10,2020,10,346.75007874603267,37.148669793897206,OK
71,S1002,1.0,2020-11,2020,11,317.2178628672239,31.57014719464875,Ok
72,S1002,1.0,2020-12,2020,12,317.5716836723028,22.528640392761925,
73,S1002,999.0,2021-01,2021,1,345.6449057932384,33.59711651668051,Ok
74,S1002,1.0,2021-02,2021,2,629.8694875743615,22.787767242582476,Ok
75,S1002,1.0,2021-03,2021,3,436.7450218302423,48.48331465713545,Ok
76,S1002,1.0,2021-04,2021,4,484.8991065209206,27.031316827650784,ok
77,S1002,1.0,2021-05,2021,5,485.5385718835973,40.77693761214012,OK
78,S1002,1.0,2021-06,2021,6,230.3590385704661,22.86439315847472,ok
79,S1002,1.0,2021-07,2021,7,283.10381511317,62.71533403242168,Ok
80,S1002,1.0,2021-08,2021,8,577.9904468177918,57.24505491767538,Ok
81,S1002,1.0,2021-09,2021,9,294.08353897204705,34.790998057790624,ok
82,S1002,1.0,2021-10,2021,10,407.6319311567571,44.28825082539606,OK
83,S1002,1.0,2021-11,2021,11,236.57459940293037,28.329518813489997,Ok
84,S1002,1.0,2021-12,2021,12,225.17063423753478,32.222374501937516,ok
85,S1002,1.0,2022-01,2022,1,425.2812599109053,59.93605819235244,ok
86,S1002,1.0,2022-02,2022,2,589.2657381947674,34.91721995551077,Ok
87,S1002,1.0,2022-03,2022,3,345.24460338065467,40.148039222702685,
88,S1002,1.0,2022-04,2022,4,398.3482523324907,56.23452961725373,OK
89,S1002,1.0,2022-05,2022,5,527.0037630807631,29.698763623275056,
90,S1002,1.0,2022-06,2022,6,339.1784147595129,18.136112324279054,OK
91,S1002,1.0,2022-07,2022,7,248.47214233833907,23.567878549171745,ok
92,S1002,1.0,2022-08,2022,8,893.721574703827,36.245351097181235,ok
93,S1002,1.0,2022-09,2022,9,544.2848168230224,30.130630147349923,Ok
94,S1002,1.0,2022-10,2022,10,159.05798449343362,21.694425000828076,OK
95,S1002,1.0,2022-11,2022,11,399.84388513103767,39.40711832351022,
96,S1002,1.0,2022-12,2022,12,356.3597897655668,27.33800696694943,ok
97,S1003,1.0,2019-01,2019,1,475.649582173721,11.624926954095255,Ok
98,S1003,1.0,2019-02,2019,2,715.2003513937627,30.949314841464986,Ok
99,S1003,1.0,2019-03,2019,3,97.25597686704208,14.670202464609012,ok
100,S1003,1.0,2019-04,2019,4,151.23583795747544,46.55787294475289,
101,S1003,1.0,2019-05,2019,5,370.466913632916,65.28245215054834,ok
102,S1003,1.0,2019-06,2019,6,323.866947196085,43.19568650702905,ok
103,S1003,1.0,2019-07,2019,7,433.26850988711755,15.001879357471331,OK
104,S1003,1.0,2019-08,2019,8,699.2382221768249,26.262927107216484,OK
105,S1003,1.0,2019-09,2019,9,253.66582794542904,33.9500939259506,Ok
106,S1003,1.0,2019-10,2019,10,285.92241002316666,,ok
107,S1003,1.0,2019-11,2019,11,245.61584436554344,32.21274346743422,ok
108,S1003,1.0,2019-12,2019,12,188.6579644136449,39.867588358181166,ok
109,S1003,1.0,2020-01,2020,1,298.32666053170595,19.001223473013702,Ok
110,S1003,1.0,2020-02,2020,2,647.196565101648,35.59956708938939,
111,S1003,1.0,2020-03,2020,3,287.73501330020224,36.09722706311449,
112,S1003,1.0,2020-04,2020,4,449.70828392943827,26.462609086661104,OK
113,S1003,1.0,2020-05,2020,5,511.8519191754982,45.93315184471022,ok
114,S1003,1.0,2020-06,2020,6,337.35074961772165,29.294123821976534,Ok
115,S1003,1.0,2020-07,2020,7,371.95851857403375,39.77237139959067,ok
116,S1003,1.0,2020-08,2020,8,403.0624618545024,17.947270226991304,OK
117,S1003,1.0,2020-09,2020,9,428.83343015028794,45.59267958178783,Ok
118,S1003,1.0,2020-10,2020,10,500.10830321554556,,OK
119,S1003,1.0,2020-11,2020,11,394.32316669420646,42.45887297168601,OK
120,S1003,1.0,2020-12,2020,12,275.2533860979547,37.64100199875156,ok
121,S1003,1.0,2021-01,2021,1,585.344093777438,19.69933715097674,ok
122,S1003,1.0,2021-02,2021,2,224.51500108010663,42.32136666985953,ok
123,S1003,1.0,2021-03,2021,3,521.5070564408268,17.5582536899143,ok
124,S1003,1.0,2021-04,2021,4,370.0001398880432,28.994732632749486,
125,S1003,1.0,2021-05,2021,5,384.86196550735383,32.606162422675894,Ok
