"segment_id line_id stop_from     stop_to       dist_m  t_theo"
"1         1       S1095        S1104        1964.0  392"
"2         1       S1104        S1098        331.0   66"
"3         1       S1098        S1105        862.0   172"
"4         1       S1105        S1103        -450.0  372"
"5         1       S1106        S1103        2033.0  406"
"6         1       S1106        S1090        1104.0  220"
"7         1       S1090        S1099        2068.0  413"
"8         1       S1099        S1094        1050.0  210"
"9         1       S1094        S1091        853.0   170s"
"10        2       S1108        S1114        1183.0  236"
"11        2       S1114        S1112        970.0   194"
"12        2       S1112        S1117        1521.0  304"
"13        2       S1117        S1123        1051.0  210"
"14        2       S1123        S1125        1162.0  232"
"15        2       S1125        S1124        1412.0  282"
"16        2       S1124        S1119        nan     365"
"17        2       S1119        S1113        591.0   118"
"18        2       S1113        S1120        789.0   157"
"19        3       S1041        S1048        827.0   165"
"20        3       S1048        S1049        311.0   62"
"21        3       S1049        S1038        857.0   171"
"22        3       S1038        S1037        663.0   132"
"23        3       S1037        S1036        722.0   144"
"24        3       S1036        S1042        1730.0  346"
"25        3       S1042        S1047        1575.0  315"
"26        3       S1047        S1053        1544.0  308"
"27        3       S1053        S1051        933.0   186"
"28        4       S1042        S1043        809.0   161"
"29        4       S1043        S1051        978.0   195"
"30        4       S1051        S1045        1448.0  289"
"31        4       S1045        S1039        611.0   122"
"32        4       S1039        S1040        1208.0  241"
"33        4       S1040        S1038        nan     347"
"34        4       S1038        S1044        1920.0  384"
"35        4       S1044        S1049        nan     96"
"36        4       S1049        S1048        858.0   171s"
"37        5       S1097        S1099        1231.0  246"
"38        5       S1099        S1092        1162.0  232"
"39        5       S1092        S1103        695.0   139"
"40        5       S1103        S1098        1654.0  330"
"41        5       S1098        S1090        1214.0  242"
"42        5       S1090        S1107        nan     185"
"43        5       S1107        S1102        1510.0  302"
"44        5       S1102        S1093        1055.0  211"
"45        5       S1093        S1091        1984.0  396s"
"46        5       S1005        S1009        1931.0  386"
"47        5       S1009        S1013        2013.0  402"
"48        5       S1013        S1006        1683.0  336"
"49        5       S1006        S1011        599.0   119"
"50        5       S1011        S1002        1095.0  219"
"51        5       S1002        S1010        412.0   82"
"52        5       S1010        S1003        304.0   60"
"53        5       S1003        S1004        1905.0  381"
"54        5       S1004        S1007        1453.0  290"
"55        7       S1068        S1063        1459.0  291"
"56        7       S1063        S1061        549.0   109"
"57        7       S1061        S1064        1922.0  384"
"58        7       S1064        S1070        nan     402"
"59        7       S1070        S1055        2142.0  428"
"60        7       S1055        S1071        1260.0  252"
"61        7       S1071        S1067        1213.0  242"
"62        7       S1067        S1062        642.0   128"
"63        7       S1062        S1054        nan     245"
"64        8       S1107        S1098        2142.0  428"
"65        8       S1098        S1105        1286.0  257"
"66        8       S1105        S1093        nan     200"
"67        8       S1093        S1102        1334.0  266"
"68        8       S1102        S1099        1369.0  273s"
"69        8       S1099        S1097        752.0   150"
"70        8       S1097        S1103        1451.0  290"
"71        8       S1103        S1091        1387.0  277"
"72        8       S1091        S1106        473.0   94"
"73        9       S1175        S1166        1239.0  247"
"74        9       S1166        S1169        1635.0  327"
"75        9       S1169        S1168        680.0   136"
"76        9       S1168        S1174        1710.0  342"
"77        9       S1174        S1164        2067.0  413"
"78        9       S1164        S1171        646.0   129s"
"79        9       S1171        S1165        nan     139s"
"80        9       S1165        S1167        332.0   66s"
"81        9       S1167        S1176        589.0   117"
"82        10      S1128        S1140        402.0   80"
"83        10      S1140        S1138        1397.0  279"
"84        10      S1138        S1134        1920.0  384"
"85        10      S1134        S1141        2190.0  438"
"86        10      S1141        S1143        1788.0  357"
"87        10      S1143        S1135        1818.0  363s"
"88        10      S1135        S1129        672.0   134"
"89        10      S1129        S1127        1257.0  251"
"90        10      S1127        S1137        323.0   64"
"91        11      S1174        S1163        1920.0  384s"
"92        11      S1163        S1176        2079.0  415"
"93        11      S1176        S1169        394.0   78"
"94        11      S1169        S1179        658.0   131"
"95        11      S1179        S1178        nan     398s"
"96        11      S1178        S1175        1860.0  372"
"97        11      S1175        S1177        2194.0  438"
"98        11      S1177        S1164        1455.0  291"
"99        11      S1164        S1170        977.0   195"
"100       12      S1037        S1043        1672.0  334"
"101       12      S1043        S1052        1159.0  231"
"102       12      S1052        S1039        665.0   133"
"103       12      S1039        S1048        1890.0  378"
"104       12      S1048        S1053        2178.0  435"
"105       12      S1053        S1051        nan     234"
"106       12      S1051        S1042        1110.0  222"
"107       12      S1042        S1049        1184.0  236"
"108       12      S1049        S1040        944.0   188"
"109       13      S1116        S1120        2174.0  434"
"110       13      S1120        S1123        779.0   155"
"111       13      S1123        S1114        1697.0  339"
"112       13      S1114        S1112        1345.0  269"
"113       13      S1112        S1122        1519.0  303"
"114       13      S1122        S1111        2091.0  418"
"115       13      S1111        S1117        1671.0  334"
"116       13      S1117        S1109        380.0   76"
"117       13      S1109        S1124        605.0   121"
"118       14      S1086        S1077        1815.0  363"
"119       14      S1077        S1088        593.0   118"
"120       14      S1088        S1081        1718.0  343"
"121       14      S1081        S1072        314.0   62"
"122       14      S1072        S1079        463.0   92"
"123       14      S1079        S1087        nan     415"
"124       14      S1087        S1082        957.0   191"
"125       14      S1082        S1078        370.0   74"
"126       14      S1078        S1089        677.0   135"
"127       15      S1130        S1137        1129.0  225"
"128       15      S1137        S1140        nan     264"
"129       15      S1140        S1135        1878.0  375"
"130       15      S1135        S1133        558.0   111"
"131       15      S1133        S1134        1970.0  394"
"132       15      S1134        S1141        1652.0  330"
"133       15      S1141        S1142        578.0   115"
"134       15      S1142        S1127        2087.0  417"
"135       15      S1127        S1132        1596.0  319"
