energy_id,date,annee,mois,line_id,zone_id,mode,energie_kwh
1,2019-01-01,2019.0,1.0,1,9.0,métro,6.156
2,2019-01-01,2019.0,1.0,2,1.0,bus,7.905333333333333
3,2019-01-01,2019.0,1.0,2,7.0,bus,6.653555555555555
4,2019-01-01,2019.0,1.0,4,4.0,tram,6.056
5,2019-01-01,2019.0,1.0,5,4.0,bus,12.314444444444444
6,2019-01-01,2019.0,1.0,5,5.0,bus,-12.3
7,2019-01-01,2019.0,1.0,5,6.0,bus,3.764777777777778
8,2019-01-01,2019.0,1.0,5,9.0,bus,3.4778888888888893
9,2019-01-01,2019.0,1.0,5,10.0,bus,6.293333333333333
10,2020/13/01,2019.0,1.0,8,1.0,Metro,14.701333333333332
11,2019-01-01,2019.0,1.0,8,3.0,Metro,8.021333333333335
12,2019-01-01,2019.0,1.0,9,3.0,bus,"1 234,5"
13,2019-01-01,2019.0,1.0,9,999.0,bus,2.992
14,2019-01-01,2019.0,1.0,10,1.0,métro,6.144
15,2019-01-01,2019.0,1.0,10,7.0,métro,8.509333333333332
16,2019-01-01,2019.0,1.0,12,5.0,métro,6.612
17,2019-01-01,2019.0,1.0,13,2.0,tram,4.992
18,2019-01-01,2019.0,1.0,13,7.0,tram,6.68
19,2019-01-01,2019.0,1.0,15,2.0,bus,7.464333333333334
20,2019-01-01,2019.0,1.0,15,6.0,bus,3.123222222222222
21,2019-01-02,2019.0,1.0,1,9.0,métro,8.508
22,2019-01-02,2019.0,1.0,2,3.0,bus,3.240333333333333
23,2019-01-02,2019.0,1.0,2,9.0,bus,3.3638888888888885
24,2019-01-02,2019.0,1.0,3,5.0,bus,3.3300000000000005
25,2019-01-02,2019.0,1.0,4,6.0,tram,4.884
26,2019-01-02,2019.0,1.0,4,8.0,tram,4.9559999999999995
27,2019-01-02,2019.0,1.0,5,3.0,bus,3.440444444444444
28,2019-01-02,2019.0,1.0,5,4.0,bus,2.908
29,2019-01-02,2019.0,1.0,5,5.0,bus,3.1
30,2019-01-02,2019.0,1.0,5,6.0,bus,9.612555555555556
31,2019-01-02,2019.0,1.0,5,8.0,bus,2.956
32,2019-01-02,2019.0,1.0,5,10.0,bus,3.1355555555555554
33,2019-01-02,2019.0,1.0,9,9.0,bus,4.005111111111111
34,2019-01-02,2019.0,1.0,10,1.0,métro,8.241333333333333
35,2019-01-02,2019.0,1.0,10,3.0,métro,6.564
36,2019-01-02,2019.0,1.0,10,9.0,métro,6.42
37,2019-01-02,2019.0,1.0,10,10.0,métro,6.18
38,2019-01-02,2019.0,1.0,11,3.0,bus,3.810888888888889
39,2019-01-02,2019.0,1.0,11,4.0,bus,4.084666666666667
40,2019-01-02,2019.0,1.0,13,2.0,tram,5.414
41,2019-01-02,2019.0,1.0,13,6.0,tram,9.911999999999999
42,2019-01-02,2019.0,1.0,15,7.0,bus,3.3313333333333333
43,2019-01-02,2019.0,1.0,15,10.0,bus,3.3379999999999996
44,2019-01-03,2019.0,1.0,1,5.0,métro,8.661333333333333
45,2019-01-03,2019.0,1.0,2,3.0,bus,3.7082222222222216
46,2019-01-03,2019.0,1.0,4,1.0,tram,6.029
47,2019-01-03,2019.0,1.0,4,5.0,tram,7.4879999999999995
48,2019-01-03,2019.0,1.0,4,8.0,tram,5.088
49,2019-01-03,2019.0,1.0,5,1.0,bus,5.972222222222222
50,2019-01-03,2019.0,1.0,5,3.0,bus,3.114111111111111
51,2019-01-03,2019.0,1.0,5,4.0,bus,7.644888888888889
52,2019-01-03,2019.0,1.0,5,9.0,bus,3.6431111111111107
53,2019-01-03,2019.0,1.0,7,8.0,tram,5.5360000000000005
54,2019-01-03,2019.0,1.0,8,1.0,Metro,9.905333333333335
55,2019-01-03,2019.0,1.0,8,7.0,Metro,6.728
56,2019-01-03,2019.0,1.0,9,5.0,bus,4.259666666666667
57,2019-01-03,2019.0,1.0,9,8.0,bus,3.052
58,2019-01-03,2019.0,1.0,11,1.0,bus,3.2800000000000002
59,2019-01-03,2019.0,1.0,11,2.0,bus,2.608
60,2019-01-03,2019.0,1.0,12,3.0,métro,8.065333333333333
61,2019-01-03,2019.0,1.0,12,9.0,métro,10.185333333333332
62,2019-01-03,2019.0,1.0,15,6.0,bus,3.3467777777777776
63,2019-01-04,2019.0,1.0,3,8.0,bus,2.824
64,2019-01-04,2019.0,1.0,3,9.0,bus,4.622444444444444
65,2019-01-04,2019.0,1.0,4,1.0,tram,4.98
66,2019-01-04,2019.0,1.0,4,5.0,tram,4.932
67,2019-01-04,2019.0,1.0,4,7.0,tram,5.28
68,2019-01-04,2019.0,1.0,4,8.0,tram,5.052
69,2019-01-04,2019.0,1.0,5,2.0,bus,7.546
70,2019-01-04,2019.0,1.0,5,3.0,bus,3.6827777777777784
71,2019-01-04,2019.0,1.0,5,4.0,bus,3.16
72,2019-01-04,2019.0,1.0,5,5.0,bus,6.522888888888889
73,2019-01-04,2019.0,1.0,7,1.0,tram,7.486
74,2019-01-04,2019.0,1.0,8,5.0,Metro,6.168
75,2019-01-04,2019.0,1.0,8,7.0,Metro,7.892000000000001
76,2019-01-04,2019.0,1.0,9,2.0,bus,3.388666666666667
77,2019-01-04,2019.0,1.0,10,7.0,métro,6.432
78,2019-01-04,2019.0,1.0,11,1.0,bus,3.388
79,2019-01-04,2019.0,1.0,11,4.0,bus,7.134555555555556
80,2019-01-04,2019.0,1.0,12,6.0,métro,6.468
81,2019-01-04,2019.0,1.0,13,7.0,tram,5.005
82,2019-01-04,2019.0,1.0,13,10.0,tram,5.574
83,2019-01-04,2019.0,1.0,14,6.0,bus,3.609555555555556
84,2019-01-04,2019.0,1.0,15,9.0,bus,4.251111111111111
85,2019-01-05,2019.0,1.0,1,7.0,métro,6.144
86,2019-01-05,2019.0,1.0,1,8.0,métro,6.892
87,2019-01-05,2019.0,1.0,3,5.0,bus,4.648888888888888
88,2019-01-05,2019.0,1.0,3,10.0,bus,3.588
89,2019-01-05,2019.0,1.0,4,4.0,tram,14.768
90,2019-01-05,2019.0,1.0,5,1.0,bus,3.376
91,2019-01-05,2019.0,1.0,5,5.0,bus,7.087444444444445
92,2019-01-05,2019.0,1.0,8,4.0,Metro,8.056
93,2019-01-05,2019.0,1.0,8,7.0,Metro,14.877333333333333
94,2019-01-05,2019.0,1.0,9,7.0,bus,3.632444444444445
95,2019-01-05,2019.0,1.0,10,4.0,métro,6.5280000000000005
96,2019-01-05,2019.0,1.0,11,4.0,bus,3.6044444444444443
97,2019-01-05,2019.0,1.0,15,10.0,bus,3.5212222222222223
98,2019-01-06,2019.0,1.0,1,8.0,métro,8.224
99,2019-01-06,2019.0,1.0,4,4.0,tram,5.0280000000000005
100,2019-01-06,2019.0,1.0,4,8.0,tram,8.360000000000001
101,2019-01-06,2019.0,1.0,5,2.0,bus,2.776
102,2019-01-06,2019.0,1.0,5,4.0,bus,3.16
103,2019-01-06,2019.0,1.0,5,7.0,bus,5.768
104,2019-01-06,2019.0,1.0,5,9.0,bus,3.2199999999999998
105,2019-01-06,2019.0,1.0,7,1.0,tram,5.435
106,2019-01-06,2019.0,1.0,7,9.0,tram,5.486
107,2019-01-06,2019.0,1.0,8,3.0,Metro,6.708
108,2019-01-06,2019.0,1.0,10,1.0,métro,6.696
109,2019-01-06,2019.0,1.0,10,2.0,métro,6.4719999999999995
110,2019-01-06,2019.0,1.0,10,3.0,métro,7.717333333333333
111,2019-01-06,2019.0,1.0,11,7.0,bus,2.7633333333333336
112,2019-01-06,2019.0,1.0,12,9.0,métro,6.54
113,2019-01-06,2019.0,1.0,13,2.0,tram,6.96
114,2019-01-06,2019.0,1.0,14,4.0,bus,3.134888888888889
115,2019-01-06,2019.0,1.0,14,10.0,bus,3.3040000000000003
116,2019-01-06,2019.0,1.0,15,2.0,bus,2.608
117,2019-01-06,2019.0,1.0,15,6.0,bus,3.6656666666666666
118,2019-01-06,2019.0,1.0,15,10.0,bus,3.0143333333333335
119,2019-01-07,2019.0,1.0,1,3.0,métro,10.437333333333333
120,2019-01-07,2019.0,1.0,1,10.0,métro,8.033333333333333
121,2019-01-07,2019.0,1.0,4,7.0,tram,5.202999999999999
122,2019-01-07,2019.0,1.0,4,9.0,tram,5.004
123,2019-01-07,2019.0,1.0,5,2.0,bus,5.044444444444444
124,2019-01-07,2019.0,1.0,5,3.0,bus,6.573222222222222
125,2019-01-07,2019.0,1.0,5,4.0,bus,4.606444444444445
126,2019-01-07,2019.0,1.0,5,7.0,bus,3.136
127,2019-01-07,2019.0,1.0,5,8.0,bus,3.9401111111111113
128,2019-01-07,2019.0,1.0,5,10.0,bus,3.6463333333333336
129,2019-01-07,2019.0,1.0,7,4.0,tram,7.348
130,2019-01-07,2019.0,1.0,7,5.0,tram,5.77
131,2019-01-07,2019.0,1.0,11,7.0,bus,2.86
132,2019-01-07,2019.0,1.0,11,9.0,bus,7.685666666666666
133,2019-01-07,2019.0,1.0,12,5.0,métro,8.969333333333333
134,2019-01-07,2019.0,1.0,13,9.0,tram,6.76
135,2019-01-07,2019.0,1.0,14,2.0,bus,3.2883333333333336
136,2019-01-07,2019.0,1.0,15,7.0,bus,2.56
137,2019-01-08,2019.0,1.0,1,8.0,métro,6.9959999999999996
138,2019-01-08,2019.0,1.0,2,4.0,bus,3.208
139,2019-01-08,2019.0,1.0,4,999.0,tram,5.715
140,2019-01-08,2019.0,1.0,5,7.0,bus,6.333333333333334
141,2019-01-08,2019.0,1.0,8,7.0,Metro,7.652000000000001
142,2019-01-08,2019.0,1.0,10,1.0,métro,6.492
143,2019-01-08,2019.0,1.0,11,9.0,bus,2.889111111111111
